A sensação de insegurança e a debilidade de o poder público eram sem dúvida características de os Estados Unidos de o final de o século 18 , quando ( segundo a versão mais aceita ) a palavra teria sido inventada a partir de a prática adotada por um juiz Lynch , de condenar e executar seus adversários sem o devido processo legal .
MESSAGE|:|Na sentença "A",  as relações de dependência sintática são mostradas abaixo no formato (token dependente -> token cabeça),
(todos -> adversários)
(os -> adversários)
(adversários -> eliminados)
(de -> tótó)
(tótó -> adversários)
(foram -> eliminados)
(eliminados -> root)
(. -> eliminados)Na sentença "s",  as relações de dependência sintática são mostradas abaixo no formato (token dependente -> token cabeça),
(assessores -> têm)
(de -> equipe)
(a -> equipe)
(equipe -> assessores)
(econômica -> equipe)
(já -> têm)
(têm -> root)
(pronta -> têm)
(parte -> têm)
(de -> argumentação)
(a -> argumentação)
(argumentação -> parte)
(. -> têm)..
Liste as relações de dependência sintática na sentença "A sensação de insegurança e a debilidade de o poder público eram sem dúvida características de os Estados Unidos de o final de o século 18 , quando ( segundo a versão mais aceita ) a palavra teria sido inventada a partir de a prática adotada por um juiz Lynch , de condenar e executar seus adversários sem o devido processo legal .", usando o formato (token dependente -> token cabeça).
REPLY|:|(sensação -> de)
(insegurança -> de)
(poder -> público)
(público -> de)
(eram -> características)
(características -> sensação)
(características -> debilidade)
(debilidade -> de)
(poder -> público)
(público -> de)
(final -> século)
(século -> de)
(18 -> século)
(18 -> de)
(Estados -> Unidos)
(Unidos -> de)
(final -> 18)
(versão -> segundo)
(versão -> aceita)
(seu -> palavra)
(teria -> sido)
(sido -> inventada)
(inventada -> palavra)
(palavra -> partir)
(prática -> adotada)
(adotada -> partir)
(Lynch -> juiz)
(Lynch -> um)
(juiz -> condenar)
(juiz -> executar)
(adversários -> execuçãolhe)
(processo -> legal)
(devido -> processo)
(processo -> legal)
(-> processo)
REFINE [(Brasil-Estados]
REFINE [(Brasil-Estados]
REFINE [Brasil-Estados]
REFINE [Brasil-Estados]
-----------END REFINE---------
REFINE [Comércio)]
REFINE [Comércio)]
REFINE [Comércio)]
REFINE [Comércio)]
REFINE [Comércio]
-----------END REFINE---------
REFINE [(Unidos]
REFINE [(Unidos]
REFINE [(Unidos]
REFINE [(Unidos]
REFINE [Unidos]
REFINE [Unidos]
-----------END REFINE---------
REFINE [Brasil-Estados)]
REFINE [Brasil-Estados)]
REFINE [Brasil-Estados)]
REFINE [Brasil-Estados)]
REFINE [Brasil-Estados]
-----------END REFINE---------
REFINE [(em]
REFINE [(em]
REFINE [(em]
REFINE [(em]
REFINE [em]
REFINE [em]
-----------END REFINE---------
REFINE [reuniram)]
REFINE [reuniram)]
REFINE [reuniram)]
REFINE [reuniram)]
REFINE [reuniram]
-----------END REFINE---------
REFINE [(Paulo]
REFINE [(Paulo]
REFINE [(Paulo]
REFINE [(Paulo]
REFINE [Paulo]
REFINE [Paulo]
-----------END REFINE---------
REFINE [São)]
REFINE [São)]
REFINE [São)]
REFINE [São)]
REFINE [São]
-----------END REFINE---------
REFINE [(São]
REFINE [(São]
REFINE [(São]
REFINE [(São]
REFINE [São]
REFINE [São]
-----------END REFINE---------
REFINE [em)]
REFINE [em)]
REFINE [em)]
REFINE [em)]
REFINE [em]
-----------END REFINE---------
REFINE [(ficaram]
REFINE [(ficaram]
REFINE [(ficaram]
REFINE [(ficaram]
REFINE [ficaram]
REFINE [ficaram]
-----------END REFINE---------
REFINE [reuniram)]
REFINE [reuniram)]
REFINE [reuniram)]
REFINE [reuniram)]
REFINE [reuniram]
-----------END REFINE---------
REFINE [(conformados]
REFINE [(conformados]
REFINE [(conformados]
REFINE [(conformados]
REFINE [conformados]
REFINE [conformados]
-----------END REFINE---------
REFINE [ficaram)]
REFINE [ficaram)]
REFINE [ficaram)]
REFINE [ficaram)]
REFINE [ficaram]
-----------END REFINE---------
REFINE [(derrota]
REFINE [(derrota]
REFINE [(derrota]
REFINE [(derrota]
REFINE [derrota]
REFINE [derrota]
-----------END REFINE---------
REFINE [com)]
REFINE [com)]
REFINE [com)]
REFINE [com)]
REFINE [com]
-----------END REFINE---------
REFINE [(seleção]
REFINE [(seleção]
REFINE [(seleção]
REFINE [(seleção]
REFINE [seleção]
REFINE [seleção]
-----------END REFINE---------
REFINE [derrota)]
REFINE [derrota)]
REFINE [derrota)]
REFINE [derrota)]
REFINE [derrota]
-----------END REFINE---------
REFINE [(sua]
REFINE [(sua]
REFINE [(sua]
REFINE [(sua]
REFINE [sua]
REFINE [sua]
-----------END REFINE---------
REFINE [seleção)]
REFINE [seleção)]
REFINE [seleção)]
REFINE [seleção)]
REFINE [seleção]
-----------END REFINE---------
REFINE [(recebeu]
REFINE [(recebeu]
REFINE [(recebeu]
REFINE [(recebeu]
REFINE [recebeu]
REFINE [recebeu]
-----------END REFINE---------
REFINE [Como)]
REFINE [Como)]
REFINE [Como)]
REFINE [Como)]
REFINE [Como]
-----------END REFINE---------
REFINE [(notícia]
REFINE [(notícia]
REFINE [(notícia]
REFINE [(notícia]
REFINE [notícia]
REFINE [notícia]
-----------END REFINE---------
REFINE [recebeu)]
REFINE [recebeu)]
REFINE [recebeu)]
REFINE [recebeu)]
REFINE [recebeu]
-----------END REFINE---------
REFINE [(seria]
REFINE [(seria]
REFINE [(seria]
REFINE [(seria]
REFINE [seria]
REFINE [seria]
-----------END REFINE---------
REFINE [que)]
REFINE [que)]
REFINE [que)]
REFINE [que)]
REFINE [que]
-----------END REFINE---------
REFINE [(substituído]
REFINE [(substituído]
REFINE [(substituído]
REFINE [(substituído]
REFINE [substituído]
REFINE [substituído]
-----------END REFINE---------
REFINE [seria)]
REFINE [seria)]
REFINE [seria)]
REFINE [seria)]
REFINE [seria]
-----------END REFINE---------
REFINE [(Folha]
REFINE [(Folha]
REFINE [(Folha]
REFINE [(Folha]
REFINE [Folha]
REFINE [Folha]
-----------END REFINE---------
REFINE [.)]
REFINE [.)]
REFINE [.)]
REFINE [.)]
REFINE [.]
-----------END REFINE---------
REFINE [(que]
REFINE [(que]
REFINE [(que]
REFINE [(que]
REFINE [que]
REFINE [que]
-----------END REFINE---------
REFINE [receber)]
REFINE [receber)]
REFINE [receber)]
REFINE [receber)]
REFINE [receber]
-----------END REFINE---------
REFINE [(.]
REFINE [(.]
REFINE [(.]
REFINE [(.]
REFINE [.]
REFINE [.]
-----------END REFINE---------
REFINE [substituído)]
REFINE [substituído)]
REFINE [substituído)]
REFINE [substituído)]
REFINE [substituído]
-----------END REFINE---------
chatGPT|:|<@><#>norte-americanos<@>Os<#>reuniram<@>norte-americanos<#>Câmara<@>em<#>Comércio<@>Câmara<#>Brasil-Estados<@>Comércio<#>Unidos<@>Brasil-Estados<#>em<@>reuniram<#>Paulo<@>São<#>São<@>em<#>ficaram<@>reuniram<#>conformados<@>ficaram<#>derrota<@>com<#>seleção<@>derrota<#>sua<@>seleção<#>recebeu<@>Como<#>notícia<@>recebeu<#>seria<@>que<#>substituído<@>seria<#>Folha<@>.<#>que<@>receber<#>.<@>substituído|:|UDA:0.231<#>DDA: 0.128
GoldTree |:|Os<@>--<@>det<#>norte-americanos<@>ficaram<@>nsubj<#>que<@>recebeu<@>nsubj<#>se<@>recebeu<@>expl<#>reuniram<@>--<@>acl<#>ontem<@>recebeu<@>advmod<#>em<@>que<@>case<#>a<@>que<@>det<#>Câmara<@>recebeu<@>obl<#>de<@>substituído<@>case<#>Comércio<@>que<@>nmod<#>Brasil-Estados<@>substituído<@>flat<#>Unidos<@>substituído<@>flat<#>,<@>recebeu<@>punct<#>em<@>São<@>case<#>São<@>recebeu<@>obl<#>Paulo<@>São<@>flat<#>,<@>recebeu<@>punct<#>ficaram<@>root<@>root<#>conformados<@>ficaram<@>xcomp<#>com<@>derrota<@>case<#>a<@>derrota<@>det<#>derrota<@>ficaram<@>obl<#>de<@>seleção<@>case<#>sua<@>seleção<@>det<#>seleção<@>derrota<@>nmod<#>.<@>ficaram<@>punct<#>Folha<@>root<@>root<#>--<@>Folha<@>punct<#>Como<@>recebeu<@>advmod<#>você<@>recebeu<@>nsubj<#>recebeu<@>Folha<@>parataxis<#>a<@>notícia<@>det<#>notícia<@>recebeu<@>obj<#>de<@>substituído<@>mark<#>que<@>substituído<@>mark<#>seria<@>substituído<@>aux<#>substituído<@>notícia<@>acl<#>?<@>Folha<@>punct
>--<
Giovane -- Normalmente .
MESSAGE|:|Na sentença "A",  as relações de dependência sintática são mostradas abaixo no formato (token dependente -> token cabeça),
(todos -> adversários)
(os -> adversários)
(adversários -> eliminados)
(de -> tótó)
(tótó -> adversários)
(foram -> eliminados)
(eliminados -> root)
(. -> eliminados)Na sentença "s",  as relações de dependência sintática são mostradas abaixo no formato (token dependente -> token cabeça),
(assessores -> têm)
(de -> equipe)
(a -> equipe)
(equipe -> assessores)
(econômica -> equipe)
(já -> têm)
(têm -> root)
(pronta -> têm)
(parte -> têm)
(de -> argumentação)
(a -> argumentação)
(argumentação -> parte)
(. -> têm)..
Liste as relações de dependência sintática na sentença "Giovane -- Normalmente .", usando o formato (token dependente -> token cabeça).
REPLY|:|Não foi fornecida a sentença "Giovane -- Normalmente ."
chatGPT|:||:|UDA:0.000<#>DDA: 0.000
GoldTree |:|Giovane<@>root<@>root<#>--<@>Giovane<@>punct<#>Normalmente<@>Giovane<@>parataxis<#>.<@>Giovane<@>punct
>--<
Seleção é isso , joga quem está melhor , não tem esse negócio de nome .
MESSAGE|:|Na sentença "A",  as relações de dependência sintática são mostradas abaixo no formato (token dependente -> token cabeça),
(todos -> adversários)
(os -> adversários)
(adversários -> eliminados)
(de -> tótó)
(tótó -> adversários)
(foram -> eliminados)
(eliminados -> root)
(. -> eliminados)Na sentença "s",  as relações de dependência sintática são mostradas abaixo no formato (token dependente -> token cabeça),
(assessores -> têm)
(de -> equipe)
(a -> equipe)
(equipe -> assessores)
(econômica -> equipe)
(já -> têm)
(têm -> root)
(pronta -> têm)
(parte -> têm)
(de -> argumentação)
(a -> argumentação)
(argumentação -> parte)
(. -> têm)..
Liste as relações de dependência sintática na sentença "Seleção é isso , joga quem está melhor , não tem esse negócio de nome .", usando o formato (token dependente -> token cabeça).
REPLY|:|Na sentença "Seleção é isso , joga quem está melhor , não tem esse negócio de nome .", as relações de dependência sintática são mostradas abaixo no formato (token dependente -> token cabeça):

(Seleção -> é)
(é -> root)
(isso -> é)
(joga -> está)
(quem -> joga)
(está -> joga)
(melhor -> está)
(não -> tem)
(tem -> é)
(esse -> negócio)
(negócio -> tem)
(de -> negócio)
(nome -> de)
(. -> é)
REFINE [(Seleção]
REFINE [(Seleção]
REFINE [(Seleção]
REFINE [(Seleção]
REFINE [Seleção]
REFINE [Seleção]
-----------END REFINE---------
REFINE [é)]
REFINE [é)]
REFINE [é)]
REFINE [é)]
REFINE [é]
-----------END REFINE---------
REFINE [(é]
REFINE [(é]
REFINE [(é]
REFINE [(é]
REFINE [é]
REFINE [é]
-----------END REFINE---------
REFINE [root)]
REFINE [root)]
REFINE [root)]
REFINE [root)]
REFINE [root]
-----------END REFINE---------
REFINE [(isso]
REFINE [(isso]
REFINE [(isso]
REFINE [(isso]
REFINE [isso]
REFINE [isso]
-----------END REFINE---------
REFINE [é)]
REFINE [é)]
REFINE [é)]
REFINE [é)]
REFINE [é]
-----------END REFINE---------
REFINE [(joga]
REFINE [(joga]
REFINE [(joga]
REFINE [(joga]
REFINE [joga]
REFINE [joga]
-----------END REFINE---------
REFINE [está)]
REFINE [está)]
REFINE [está)]
REFINE [está)]
REFINE [está]
-----------END REFINE---------
REFINE [(quem]
REFINE [(quem]
REFINE [(quem]
REFINE [(quem]
REFINE [quem]
REFINE [quem]
-----------END REFINE---------
REFINE [joga)]
REFINE [joga)]
REFINE [joga)]
REFINE [joga)]
REFINE [joga]
-----------END REFINE---------
REFINE [(está]
REFINE [(está]
REFINE [(está]
REFINE [(está]
REFINE [está]
REFINE [está]
-----------END REFINE---------
REFINE [joga)]
REFINE [joga)]
REFINE [joga)]
REFINE [joga)]
REFINE [joga]
-----------END REFINE---------
REFINE [(melhor]
REFINE [(melhor]
REFINE [(melhor]
REFINE [(melhor]
REFINE [melhor]
REFINE [melhor]
-----------END REFINE---------
REFINE [está)]
REFINE [está)]
REFINE [está)]
REFINE [está)]
REFINE [está]
-----------END REFINE---------
REFINE [(não]
REFINE [(não]
REFINE [(não]
REFINE [(não]
REFINE [não]
REFINE [não]
-----------END REFINE---------
REFINE [tem)]
REFINE [tem)]
REFINE [tem)]
REFINE [tem)]
REFINE [tem]
-----------END REFINE---------
REFINE [(tem]
REFINE [(tem]
REFINE [(tem]
REFINE [(tem]
REFINE [tem]
REFINE [tem]
-----------END REFINE---------
REFINE [é)]
REFINE [é)]
REFINE [é)]
REFINE [é)]
REFINE [é]
-----------END REFINE---------
REFINE [(esse]
REFINE [(esse]
REFINE [(esse]
REFINE [(esse]
REFINE [esse]
REFINE [esse]
-----------END REFINE---------
REFINE [negócio)]
REFINE [negócio)]
REFINE [negócio)]
REFINE [negócio)]
REFINE [negócio]
-----------END REFINE---------
REFINE [(negócio]
REFINE [(negócio]
REFINE [(negócio]
REFINE [(negócio]
REFINE [negócio]
REFINE [negócio]
-----------END REFINE---------
REFINE [tem)]
REFINE [tem)]
REFINE [tem)]
REFINE [tem)]
REFINE [tem]
-----------END REFINE---------
REFINE [(de]
REFINE [(de]
REFINE [(de]
REFINE [(de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [negócio)]
REFINE [negócio)]
REFINE [negócio)]
REFINE [negócio)]
REFINE [negócio]
-----------END REFINE---------
REFINE [(nome]
REFINE [(nome]
REFINE [(nome]
REFINE [(nome]
REFINE [nome]
REFINE [nome]
-----------END REFINE---------
REFINE [de)]
REFINE [de)]
REFINE [de)]
REFINE [de)]
REFINE [de]
-----------END REFINE---------
REFINE [(.]
REFINE [(.]
REFINE [(.]
REFINE [(.]
REFINE [.]
REFINE [.]
-----------END REFINE---------
REFINE [é)]
REFINE [é)]
REFINE [é)]
REFINE [é)]
REFINE [é]
-----------END REFINE---------
chatGPT|:|<@><#>Seleção<@>é<#>é<@>root<#>isso<@>é<#>joga<@>está<#>quem<@>joga<#>está<@>joga<#>melhor<@>está<#>não<@>tem<#>tem<@>é<#>esse<@>negócio<#>negócio<@>tem<#>de<@>negócio<#>nome<@>de<#>.<@>é|:|UDA:0.375<#>DDA: 0.188
GoldTree |:|Seleção<@>isso<@>nsubj<#>é<@>isso<@>cop<#>isso<@>root<@>root<#>,<@>joga<@>punct<#>joga<@>isso<@>acl<#>quem<@>melhor<@>nsubj<#>está<@>melhor<@>cop<#>melhor<@>joga<@>csubj<#>,<@>tem<@>punct<#>não<@>tem<@>advmod<#>tem<@>joga<@>conj<#>esse<@>negócio<@>det<#>negócio<@>tem<@>nsubj<#>de<@>nome<@>case<#>nome<@>negócio<@>nmod<#>.<@>isso<@>punct
>--<
A melhor equipe é que deve jogar .
MESSAGE|:|Na sentença "A",  as relações de dependência sintática são mostradas abaixo no formato (token dependente -> token cabeça),
(todos -> adversários)
(os -> adversários)
(adversários -> eliminados)
(de -> tótó)
(tótó -> adversários)
(foram -> eliminados)
(eliminados -> root)
(. -> eliminados)Na sentença "s",  as relações de dependência sintática são mostradas abaixo no formato (token dependente -> token cabeça),
(assessores -> têm)
(de -> equipe)
(a -> equipe)
(equipe -> assessores)
(econômica -> equipe)
(já -> têm)
(têm -> root)
(pronta -> têm)
(parte -> têm)
(de -> argumentação)
(a -> argumentação)
(argumentação -> parte)
(. -> têm)..
Liste as relações de dependência sintática na sentença "A melhor equipe é que deve jogar .", usando o formato (token dependente -> token cabeça).
REPLY|:|Nas sentença "A melhor equipe é que deve jogar .", as relações de dependência sintática são mostradas abaixo:

(equipe -> A)
(melhor -> equipe)
(é -> equipe)
(deve -> jogar)
(jogar -> é)
(. -> jogar)
REFINE [(equipe]
REFINE [(equipe]
REFINE [(equipe]
REFINE [(equipe]
REFINE [equipe]
REFINE [equipe]
-----------END REFINE---------
REFINE [A)]
REFINE [A)]
REFINE [A)]
REFINE [A)]
REFINE [A]
-----------END REFINE---------
REFINE [(melhor]
REFINE [(melhor]
REFINE [(melhor]
REFINE [(melhor]
REFINE [melhor]
REFINE [melhor]
-----------END REFINE---------
REFINE [equipe)]
REFINE [equipe)]
REFINE [equipe)]
REFINE [equipe)]
REFINE [equipe]
-----------END REFINE---------
REFINE [(é]
REFINE [(é]
REFINE [(é]
REFINE [(é]
REFINE [é]
REFINE [é]
-----------END REFINE---------
REFINE [equipe)]
REFINE [equipe)]
REFINE [equipe)]
REFINE [equipe)]
REFINE [equipe]
-----------END REFINE---------
REFINE [(deve]
REFINE [(deve]
REFINE [(deve]
REFINE [(deve]
REFINE [deve]
REFINE [deve]
-----------END REFINE---------
REFINE [jogar)]
REFINE [jogar)]
REFINE [jogar)]
REFINE [jogar)]
REFINE [jogar]
-----------END REFINE---------
REFINE [(jogar]
REFINE [(jogar]
REFINE [(jogar]
REFINE [(jogar]
REFINE [jogar]
REFINE [jogar]
-----------END REFINE---------
REFINE [é)]
REFINE [é)]
REFINE [é)]
REFINE [é)]
REFINE [é]
-----------END REFINE---------
REFINE [(.]
REFINE [(.]
REFINE [(.]
REFINE [(.]
REFINE [.]
REFINE [.]
-----------END REFINE---------
REFINE [jogar)]
REFINE [jogar)]
REFINE [jogar)]
REFINE [jogar)]
REFINE [jogar]
-----------END REFINE---------
chatGPT|:|<@><#>equipe<@>A<#>melhor<@>equipe<#>é<@>equipe<#>deve<@>jogar<#>jogar<@>é<#>.<@>jogar|:|UDA:0.625<#>DDA: 0.250
GoldTree |:|A<@>equipe<@>det<#>melhor<@>equipe<@>amod<#>equipe<@>deve<@>nsubj<#>é<@>jogar<@>discourse<#>que<@>é<@>fixed<#>deve<@>root<@>root<#>jogar<@>deve<@>xcomp<#>.<@>jogar<@>punct
>--<
O NÚMERO 32
MESSAGE|:|Na sentença "A",  as relações de dependência sintática são mostradas abaixo no formato (token dependente -> token cabeça),
(todos -> adversários)
(os -> adversários)
(adversários -> eliminados)
(de -> tótó)
(tótó -> adversários)
(foram -> eliminados)
(eliminados -> root)
(. -> eliminados)Na sentença "s",  as relações de dependência sintática são mostradas abaixo no formato (token dependente -> token cabeça),
(assessores -> têm)
(de -> equipe)
(a -> equipe)
(equipe -> assessores)
(econômica -> equipe)
(já -> têm)
(têm -> root)
(pronta -> têm)
(parte -> têm)
(de -> argumentação)
(a -> argumentação)
(argumentação -> parte)
(. -> têm)..
Liste as relações de dependência sintática na sentença "O NÚMERO 32", usando o formato (token dependente -> token cabeça).
REPLY|:|Não é possível listar as relações de dependência sintática na sentença "O NÚMERO 32" porque ela não é uma construção sintática típica de uma frase. "O NÚMERO 32" não possui uma estrutura gramatical com sujeito, verbo e complementos, portanto não é possível estabelecer relações de dependência sintática entre os tokens dessa sequência de palavras.
chatGPT|:||:|UDA:0.000<#>DDA: 0.000
GoldTree |:|O<@>NÚMERO<@>det<#>NÚMERO<@>root<@>root<#>32<@>NÚMERO<@>nummod
>--<
... casos positivos de dengue em Monte Aprazível ( 38 km de Rio Preto-SP ) foram divulgados ontem por o Ersa ( Escritório Regional de Saúde ) de Rio Preto .
MESSAGE|:|Na sentença "A",  as relações de dependência sintática são mostradas abaixo no formato (token dependente -> token cabeça),
(todos -> adversários)
(os -> adversários)
(adversários -> eliminados)
(de -> tótó)
(tótó -> adversários)
(foram -> eliminados)
(eliminados -> root)
(. -> eliminados)Na sentença "s",  as relações de dependência sintática são mostradas abaixo no formato (token dependente -> token cabeça),
(assessores -> têm)
(de -> equipe)
(a -> equipe)
(equipe -> assessores)
(econômica -> equipe)
(já -> têm)
(têm -> root)
(pronta -> têm)
(parte -> têm)
(de -> argumentação)
(a -> argumentação)
(argumentação -> parte)
(. -> têm)..
Liste as relações de dependência sintática na sentença "... casos positivos de dengue em Monte Aprazível ( 38 km de Rio Preto-SP ) foram divulgados ontem por o Ersa ( Escritório Regional de Saúde ) de Rio Preto .", usando o formato (token dependente -> token cabeça).
REPLY|:|(casos -> divulgados)
(positivos -> casos)
(de -> casos)
(dengue -> casos)
(em -> Aprazível)
(Monte -> Aprazível)
(Aprazível -> em)
(km -> Aprazível)
(38 -> km)
(de -> km)
(Rio -> km)
(Preto-SP -> Rio)
(de -> Aprazível)
(ontem -> divulgados)
(por -> divulgados)
(Ersa -> divulgados)
(Escritório -> Ersa)
(Regional -> Ersa)
(Saúde -> Ersa)
(de -> Saúde)
(Rio -> Saúde)
(Preto -> Saúde)
(. -> divulgados)
REFINE [(positivos]
REFINE [(positivos]
REFINE [(positivos]
REFINE [(positivos]
REFINE [positivos]
REFINE [positivos]
-----------END REFINE---------
REFINE [casos)]
REFINE [casos)]
REFINE [casos)]
REFINE [casos)]
REFINE [casos]
-----------END REFINE---------
REFINE [(de]
REFINE [(de]
REFINE [(de]
REFINE [(de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [casos)]
REFINE [casos)]
REFINE [casos)]
REFINE [casos)]
REFINE [casos]
-----------END REFINE---------
REFINE [(dengue]
REFINE [(dengue]
REFINE [(dengue]
REFINE [(dengue]
REFINE [dengue]
REFINE [dengue]
-----------END REFINE---------
REFINE [casos)]
REFINE [casos)]
REFINE [casos)]
REFINE [casos)]
REFINE [casos]
-----------END REFINE---------
REFINE [(em]
REFINE [(em]
REFINE [(em]
REFINE [(em]
REFINE [em]
REFINE [em]
-----------END REFINE---------
REFINE [Aprazível)]
REFINE [Aprazível)]
REFINE [Aprazível)]
REFINE [Aprazível)]
REFINE [Aprazível]
-----------END REFINE---------
REFINE [(Monte]
REFINE [(Monte]
REFINE [(Monte]
REFINE [(Monte]
REFINE [Monte]
REFINE [Monte]
-----------END REFINE---------
REFINE [Aprazível)]
REFINE [Aprazível)]
REFINE [Aprazível)]
REFINE [Aprazível)]
REFINE [Aprazível]
-----------END REFINE---------
REFINE [(Aprazível]
REFINE [(Aprazível]
REFINE [(Aprazível]
REFINE [(Aprazível]
REFINE [Aprazível]
REFINE [Aprazível]
-----------END REFINE---------
REFINE [em)]
REFINE [em)]
REFINE [em)]
REFINE [em)]
REFINE [em]
-----------END REFINE---------
REFINE [(km]
REFINE [(km]
REFINE [(km]
REFINE [(km]
REFINE [km]
REFINE [km]
-----------END REFINE---------
REFINE [Aprazível)]
REFINE [Aprazível)]
REFINE [Aprazível)]
REFINE [Aprazível)]
REFINE [Aprazível]
-----------END REFINE---------
REFINE [(38]
REFINE [(38]
REFINE [(38]
REFINE [(38]
REFINE [38]
REFINE [38]
-----------END REFINE---------
REFINE [km)]
REFINE [km)]
REFINE [km)]
REFINE [km)]
REFINE [km]
-----------END REFINE---------
REFINE [(de]
REFINE [(de]
REFINE [(de]
REFINE [(de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [km)]
REFINE [km)]
REFINE [km)]
REFINE [km)]
REFINE [km]
-----------END REFINE---------
REFINE [(Rio]
REFINE [(Rio]
REFINE [(Rio]
REFINE [(Rio]
REFINE [Rio]
REFINE [Rio]
-----------END REFINE---------
REFINE [km)]
REFINE [km)]
REFINE [km)]
REFINE [km)]
REFINE [km]
-----------END REFINE---------
REFINE [(Preto-SP]
REFINE [(Preto-SP]
REFINE [(Preto-SP]
REFINE [(Preto-SP]
REFINE [Preto-SP]
REFINE [Preto-SP]
-----------END REFINE---------
REFINE [Rio)]
REFINE [Rio)]
REFINE [Rio)]
REFINE [Rio)]
REFINE [Rio]
-----------END REFINE---------
REFINE [(de]
REFINE [(de]
REFINE [(de]
REFINE [(de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [Aprazível)]
REFINE [Aprazível)]
REFINE [Aprazível)]
REFINE [Aprazível)]
REFINE [Aprazível]
-----------END REFINE---------
REFINE [(ontem]
REFINE [(ontem]
REFINE [(ontem]
REFINE [(ontem]
REFINE [ontem]
REFINE [ontem]
-----------END REFINE---------
REFINE [divulgados)]
REFINE [divulgados)]
REFINE [divulgados)]
REFINE [divulgados)]
REFINE [divulgados]
-----------END REFINE---------
REFINE [(por]
REFINE [(por]
REFINE [(por]
REFINE [(por]
REFINE [por]
REFINE [por]
-----------END REFINE---------
REFINE [divulgados)]
REFINE [divulgados)]
REFINE [divulgados)]
REFINE [divulgados)]
REFINE [divulgados]
-----------END REFINE---------
REFINE [(Ersa]
REFINE [(Ersa]
REFINE [(Ersa]
REFINE [(Ersa]
REFINE [Ersa]
REFINE [Ersa]
-----------END REFINE---------
REFINE [divulgados)]
REFINE [divulgados)]
REFINE [divulgados)]
REFINE [divulgados)]
REFINE [divulgados]
-----------END REFINE---------
REFINE [(Escritório]
REFINE [(Escritório]
REFINE [(Escritório]
REFINE [(Escritório]
REFINE [Escritório]
REFINE [Escritório]
-----------END REFINE---------
REFINE [Ersa)]
REFINE [Ersa)]
REFINE [Ersa)]
REFINE [Ersa)]
REFINE [Ersa]
-----------END REFINE---------
REFINE [(Regional]
REFINE [(Regional]
REFINE [(Regional]
REFINE [(Regional]
REFINE [Regional]
REFINE [Regional]
-----------END REFINE---------
REFINE [Ersa)]
REFINE [Ersa)]
REFINE [Ersa)]
REFINE [Ersa)]
REFINE [Ersa]
-----------END REFINE---------
REFINE [(Saúde]
REFINE [(Saúde]
REFINE [(Saúde]
REFINE [(Saúde]
REFINE [Saúde]
REFINE [Saúde]
-----------END REFINE---------
REFINE [Ersa)]
REFINE [Ersa)]
REFINE [Ersa)]
REFINE [Ersa)]
REFINE [Ersa]
-----------END REFINE---------
REFINE [(de]
REFINE [(de]
REFINE [(de]
REFINE [(de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [Saúde)]
REFINE [Saúde)]
REFINE [Saúde)]
REFINE [Saúde)]
REFINE [Saúde]
-----------END REFINE---------
REFINE [(Rio]
REFINE [(Rio]
REFINE [(Rio]
REFINE [(Rio]
REFINE [Rio]
REFINE [Rio]
-----------END REFINE---------
REFINE [Saúde)]
REFINE [Saúde)]
REFINE [Saúde)]
REFINE [Saúde)]
REFINE [Saúde]
-----------END REFINE---------
REFINE [(Preto]
REFINE [(Preto]
REFINE [(Preto]
REFINE [(Preto]
REFINE [Preto]
REFINE [Preto]
-----------END REFINE---------
REFINE [Saúde)]
REFINE [Saúde)]
REFINE [Saúde)]
REFINE [Saúde)]
REFINE [Saúde]
-----------END REFINE---------
REFINE [(.]
REFINE [(.]
REFINE [(.]
REFINE [(.]
REFINE [.]
REFINE [.]
-----------END REFINE---------
REFINE [divulgados)]
REFINE [divulgados)]
REFINE [divulgados)]
REFINE [divulgados)]
REFINE [divulgados]
-----------END REFINE---------
chatGPT|:|positivos<@>casos<#>de<@>casos<#>dengue<@>casos<#>em<@>Aprazível<#>Monte<@>Aprazível<#>Aprazível<@>em<#>km<@>Aprazível<#>38<@>km<#>de<@>km<#>Rio<@>km<#>Preto-SP<@>Rio<#>de<@>Aprazível<#>ontem<@>divulgados<#>por<@>divulgados<#>Ersa<@>divulgados<#>Escritório<@>Ersa<#>Regional<@>Ersa<#>Saúde<@>Ersa<#>de<@>Saúde<#>Rio<@>Saúde<#>Preto<@>Saúde<#>.<@>divulgados|:|UDA:0.355<#>DDA: 0.323
